statcod;jrsttcd;statnam;naam;dac_cod;dac_id
GM0796;2020GM0796;'s-Hertogenbosch;Brabant-Noord;BN;21
GM0797;2020GM0797;Heusden;Brabant-Noord;BN;21
GM0815;2020GM0815;Mill en Sint Hubert;Brabant-Noord;BN;21
GM0828;2020GM0828;Oss;Brabant-Noord;BN;21
GM0845;2020GM0845;Sint-Michielsgestel;Brabant-Noord;BN;21
GM0856;2020GM0856;Uden;Brabant-Noord;BN;21
GM0865;2020GM0865;Vught;Brabant-Noord;BN;21
GM1684;2020GM1684;Cuijk;Brabant-Noord;BN;21
GM1685;2020GM1685;Landerd;Brabant-Noord;BN;21
GM1702;2020GM1702;Sint Anthonis;Brabant-Noord;BN;21
GM1721;2020GM1721;Bernheze;Brabant-Noord;BN;21
GM1948;2020GM1948;Meierijstad;Brabant-Noord;BN;21
GM0003;2020GM0003;Appingedam;Groningen;GRO;1
GM0010;2020GM0010;Delfzijl;Groningen;GRO;1
GM0014;2020GM0014;Groningen;Groningen;GRO;1
GM0024;2020GM0024;Loppersum;Groningen;GRO;1
GM0037;2020GM0037;Stadskanaal;Groningen;GRO;1
GM0047;2020GM0047;Veendam;Groningen;GRO;1
GM0765;2020GM0765;Pekela;Groningen;GRO;1
GM1895;2020GM1895;Oldambt;Groningen;GRO;1
GM1950;2020GM1950;Westerwolde;Groningen;GRO;1
GM1952;2020GM1952;Midden-Groningen;Groningen;GRO;1
GM1966;2020GM1966;Het Hogeland;Groningen;GRO;1
GM1969;2020GM1969;Westerkwartier;Groningen;GRO;1
GM0059;2020GM0059;Achtkarspelen;Fryslan;FRI;2
GM0060;2020GM0060;Ameland;Fryslan;FRI;2
GM0072;2020GM0072;Harlingen;Fryslan;FRI;2
GM0074;2020GM0074;Heerenveen;Fryslan;FRI;2
GM0080;2020GM0080;Leeuwarden;Fryslan;FRI;2
GM0085;2020GM0085;Ooststellingwerf;Fryslan;FRI;2
GM0086;2020GM0086;Opsterland;Fryslan;FRI;2
GM0088;2020GM0088;Schiermonnikoog;Fryslan;FRI;2
GM0090;2020GM0090;Smallingerland;Fryslan;FRI;2
GM0093;2020GM0093;Terschelling;Fryslan;FRI;2
GM0096;2020GM0096;Vlieland;Fryslan;FRI;2
GM0098;2020GM0098;Weststellingwerf;Fryslan;FRI;2
GM0737;2020GM0737;Tytsjerksteradiel;Fryslan;FRI;2
GM1891;2020GM1891;Dantumadiel;Fryslan;FRI;2
GM1900;2020GM1900;S̼dwest-Frysl̢n;Fryslan;FRI;2
GM1940;2020GM1940;De Fryske Marren;Fryslan;FRI;2
GM1949;2020GM1949;Waadhoeke;Fryslan;FRI;2
GM1970;2020GM1970;Noardeast-Frysl̢n;Fryslan;FRI;2
GM0106;2020GM0106;Assen;Drenthe;DRE;3
GM0109;2020GM0109;Coevorden;Drenthe;DRE;3
GM0114;2020GM0114;Emmen;Drenthe;DRE;3
GM0118;2020GM0118;Hoogeveen;Drenthe;DRE;3
GM0119;2020GM0119;Meppel;Drenthe;DRE;3
GM1680;2020GM1680;Aa en Hunze;Drenthe;DRE;3
GM1681;2020GM1681;Borger-Odoorn;Drenthe;DRE;3
GM1690;2020GM1690;De Wolden;Drenthe;DRE;3
GM1699;2020GM1699;Noordenveld;Drenthe;DRE;3
GM1701;2020GM1701;Westerveld;Drenthe;DRE;3
GM1730;2020GM1730;Tynaarlo;Drenthe;DRE;3
GM1731;2020GM1731;Midden-Drenthe;Drenthe;DRE;3
GM0148;2020GM0148;Dalfsen;IJsselland;IJSS;4
GM0150;2020GM0150;Deventer;IJsselland;IJSS;4
GM0160;2020GM0160;Hardenberg;IJsselland;IJSS;4
GM0166;2020GM0166;Kampen;IJsselland;IJSS;4
GM0175;2020GM0175;Ommen;IJsselland;IJSS;4
GM0177;2020GM0177;Raalte;IJsselland;IJSS;4
GM0180;2020GM0180;Staphorst;IJsselland;IJSS;4
GM0193;2020GM0193;Zwolle;IJsselland;IJSS;4
GM1708;2020GM1708;Steenwijkerland;IJsselland;IJSS;4
GM1773;2020GM1773;Olst-Wijhe;IJsselland;IJSS;4
GM1896;2020GM1896;Zwartewaterland;IJsselland;IJSS;4
GM0141;2020GM0141;Almelo;Twente;TWE;5
GM0147;2020GM0147;Borne;Twente;TWE;5
GM0153;2020GM0153;Enschede;Twente;TWE;5
GM0158;2020GM0158;Haaksbergen;Twente;TWE;5
GM0163;2020GM0163;Hellendoorn;Twente;TWE;5
GM0164;2020GM0164;Hengelo;Twente;TWE;5
GM0168;2020GM0168;Losser;Twente;TWE;5
GM0173;2020GM0173;Oldenzaal;Twente;TWE;5
GM0183;2020GM0183;Tubbergen;Twente;TWE;5
GM0189;2020GM0189;Wierden;Twente;TWE;5
GM1700;2020GM1700;Twenterand;Twente;TWE;5
GM1735;2020GM1735;Hof van Twente;Twente;TWE;5
GM1742;2020GM1742;Rijssen-Holten;Twente;TWE;5
GM1774;2020GM1774;Dinkelland;Twente;TWE;5
GM0197;2020GM0197;Aalten;Noord- en Oost-Gelderland;NOG;6
GM0200;2020GM0200;Apeldoorn;Noord- en Oost-Gelderland;NOG;6
GM0213;2020GM0213;Brummen;Noord- en Oost-Gelderland;NOG;6
GM0222;2020GM0222;Doetinchem;Noord- en Oost-Gelderland;NOG;6
GM0230;2020GM0230;Elburg;Noord- en Oost-Gelderland;NOG;6
GM0232;2020GM0232;Epe;Noord- en Oost-Gelderland;NOG;6
GM0233;2020GM0233;Ermelo;Noord- en Oost-Gelderland;NOG;6
GM0243;2020GM0243;Harderwijk;Noord- en Oost-Gelderland;NOG;6
GM0244;2020GM0244;Hattem;Noord- en Oost-Gelderland;NOG;6
GM0246;2020GM0246;Heerde;Noord- en Oost-Gelderland;NOG;6
GM0262;2020GM0262;Lochem;Noord- en Oost-Gelderland;NOG;6
GM0269;2020GM0269;Oldebroek;Noord- en Oost-Gelderland;NOG;6
GM0273;2020GM0273;Putten;Noord- en Oost-Gelderland;NOG;6
GM0285;2020GM0285;Voorst;Noord- en Oost-Gelderland;NOG;6
GM0294;2020GM0294;Winterswijk;Noord- en Oost-Gelderland;NOG;6
GM0301;2020GM0301;Zutphen;Noord- en Oost-Gelderland;NOG;6
GM0302;2020GM0302;Nunspeet;Noord- en Oost-Gelderland;NOG;6
GM1509;2020GM1509;Oude IJsselstreek;Noord- en Oost-Gelderland;NOG;6
GM1586;2020GM1586;Oost Gelre;Noord- en Oost-Gelderland;NOG;6
GM1859;2020GM1859;Berkelland;Noord- en Oost-Gelderland;NOG;6
GM1876;2020GM1876;Bronckhorst;Noord- en Oost-Gelderland;NOG;6
GM1955;2020GM1955;Montferland;Noord- en Oost-Gelderland;NOG;6
GM0202;2020GM0202;Arnhem;Gelderland-Midden;GM;7
GM0203;2020GM0203;Barneveld;Gelderland-Midden;GM;7
GM0221;2020GM0221;Doesburg;Gelderland-Midden;GM;7
GM0226;2020GM0226;Duiven;Gelderland-Midden;GM;7
GM0228;2020GM0228;Ede;Gelderland-Midden;GM;7
GM0267;2020GM0267;Nijkerk;Gelderland-Midden;GM;7
GM0274;2020GM0274;Renkum;Gelderland-Midden;GM;7
GM0275;2020GM0275;Rheden;Gelderland-Midden;GM;7
